example_id,sample_id,variant,condition,has_backtracking_strict,has_backtracking_relaxed,onset_phrase,onset_char,onset_token_in_completion,onset_token_in_full,onset_token_id,onset_token_text,pred_pos_in_full,predicted_answer,is_correct,prompt_tokens,completion_tokens
0,0,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,** \(\boxed{621}\),False,87,512
0,1,baseline_think_newline,baseline,True,True,wait,357,111,198,3783, wait,197,621,True,87,512
0,2,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,answer621/answer,False,87,512
0,3,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,**,False,87,512
0,4,baseline_think_newline,baseline,True,True,Wait,1190,325,412,14190,Wait,411,answer621/answer,False,87,512
0,5,baseline_think_newline,baseline,True,True,wait,602,159,246,3783, wait,245,should be 621.,False,87,512
1,0,baseline_think_newline,baseline,True,True,Wait,917,250,320,14190,Wait,319,0.5,False,70,512
1,1,baseline_think_newline,baseline,True,True,Wait,1111,299,369,14190,Wait,368,35,False,70,512
1,2,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,**,False,70,512
1,3,baseline_think_newline,baseline,True,True,Wait,130,29,99,14190,Wait,98,5 pounds.,False,70,512
1,4,baseline_think_newline,baseline,False,True,mistake,980,248,318,16523, mistake,317,is correct.,False,70,512
1,5,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,**,False,70,512
2,0,baseline_think_newline,baseline,True,True,Wait,1217,342,454,14190,Wait,453,answer,False,112,512
2,1,baseline_think_newline,baseline,True,True,wait,840,193,305,3783, wait,304,0,False,112,512
2,2,baseline_think_newline,baseline,True,True,Wait,441,96,208,14190,Wait,207,1,False,112,512
2,3,baseline_think_newline,baseline,False,True,mistake,1340,370,482,16523, mistake,481,Mark makes 7500 cents in a week.,False,112,512
2,4,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,7500,True,112,512
2,5,baseline_think_newline,baseline,True,True,Wait,1484,394,506,14190,Wait,505,0,False,112,512
3,0,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,6,False,108,512
3,1,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,4,False,108,512
3,2,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,10.,True,108,512
3,3,baseline_think_newline,baseline,False,True,Let me check,984,379,487,6771, Let,486,The number of tennis balls Rory retrieved in the first set is \boxed{10}.,False,108,512
3,4,baseline_think_newline,baseline,True,True,Wait,436,142,250,14190,Wait,249,\boxed,False,108,512
3,5,baseline_think_newline,baseline,True,True,Wait,1343,419,527,14190,Wait,526,19,False,108,512
4,0,baseline_think_newline,baseline,True,True,Wait,1056,365,435,14190,Wait,434,should be $294 per week.,False,70,512
4,1,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,294,True,70,512
4,2,baseline_think_newline,baseline,True,True,Wait,1156,399,469,14190,Wait,468,294,True,70,512
4,3,baseline_think_newline,baseline,True,True,Wait,1160,336,406,14190,Wait,405,4,False,70,512
4,4,baseline_think_newline,baseline,True,True,wait,560,180,250,3783, wait,249,147,False,70,512
4,5,baseline_think_newline,baseline,True,True,wait,406,107,177,3783, wait,176,2,False,70,512
5,0,baseline_think_newline,baseline,True,True,Wait,1306,451,541,13824, Wait,540,13.00,False,90,512
5,1,baseline_think_newline,baseline,True,True,Wait,709,238,328,13824, Wait,327,4.50,False,90,512
5,2,baseline_think_newline,baseline,True,True,Wait,1143,458,548,14190,Wait,547,1.5,False,90,512
5,3,baseline_think_newline,baseline,True,True,Wait,1249,390,480,13824, Wait,479,4.50,False,90,512
5,4,baseline_think_newline,baseline,True,True,Wait,1210,348,438,14190,Wait,437,8.5,False,90,512
5,5,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,**,False,90,512
6,0,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,answer,False,65,512
6,1,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,answer6/answer,False,65,512
6,2,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,**,False,65,512
6,3,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,**,False,65,512
6,4,baseline_think_newline,baseline,False,False,,-1,-1,-1,-1,,-1,9,False,65,512
6,5,baseline_think_newline,baseline,True,True,Wait,949,313,378,14190,Wait,377,36,False,65,512
7,0,baseline_think_newline,baseline,True,True,Wait,1199,356,439,14190,Wait,438,should be 12 cats left on the rock.,False,83,512
7,1,baseline_think_newline,baseline,True,True,Wait,1242,385,468,14190,Wait,467,1,False,83,512
7,2,baseline_think_newline,baseline,True,True,Wait,784,237,320,14190,Wait,319,** 12,False,83,512
7,3,baseline_think_newline,baseline,True,True,Wait,1168,365,448,14190,Wait,447,50,False,83,512
7,4,baseline_think_newline,baseline,True,True,Wait,1165,342,425,14190,Wait,424,12,True,83,512
7,5,baseline_think_newline,baseline,True,True,Wait,850,267,350,14190,Wait,349,3,False,83,512
8,0,baseline_think_newline,baseline,True,True,wait,1335,358,434,3783, wait,433,42,True,76,512
